Names,Cost,MSR,BDP,E3,GW,DDV,RVV,SP,AGR,BP,PR,FW,LBL,Total
Fabio Jakobsen,10,0,0,0,0,0,0,80,0,0,0,0,0,80
Zdenek Stybar,10,0,0,0,0,0,0,10,36,0,0,0,0,46
Mark Cavendish,10,0,25,0,0,0,0,0,0,0,0,0,0,25
Jonas Vingegaard,10,0,0,0,0,0,0,0,0,0,0,0,20,20
Bauke Mollema,10,0,0,0,0,0,0,0,0,0,0,5,12,17
Valentin Madouas,8,0,0,188,0,100,360,0,110,0,20,0,0,778
Michal Kwiatkowski,8,90,0,0,0,0,0,0,520,36,60,0,0,706
Binian Girmay,8,130,50,196,322,0,0,0,0,0,0,0,0,698
Soren Kragh Andersen,8,200,0,0,196,70,0,0,12,0,0,0,36,514
Danny Van Poppel,8,0,45,0,0,0,90,364,0,0,0,0,0,499
Nils Politt,8,0,0,0,0,304,0,99,0,0,54,0,0,457
Mike Teunissen,8,0,0,191,24,39,72,0,20,0,106,0,0,452
Arnaud Demare,8,150,150,0,146,0,0,0,0,0,0,0,0,446
Ivan Garcia Cortina,8,48,0,75,166,0,114,0,0,0,36,0,0,439
Dani Martinez,8,0,0,0,0,0,0,0,0,0,0,160,260,420
Jordi Meeus,8,0,0,0,0,0,0,263,0,0,110,0,0,373
Andrea Pasqualon,8,0,0,0,121,95,0,0,24,0,72,0,0,312
Aleksandr Vlasov,8,0,0,0,0,0,0,0,0,0,0,200,110,310
Edward Theuns,8,0,0,0,0,0,0,304,0,0,0,0,0,304
Michael Valgren,8,36,0,55,0,0,0,0,100,100,0,0,0,291
Neilson Powless,8,0,0,0,0,0,0,0,0,0,0,60,180,240
Sergio Higuita,8,0,0,0,0,0,0,0,0,0,0,0,240,240
Nacer Bouhanni,8,24,200,0,0,0,0,0,0,0,0,0,0,224
Rudy Molard,8,0,0,0,0,0,0,0,0,0,0,130,78,208
Damiano Caruso,8,160,0,0,0,0,0,0,0,0,0,36,0,196
Mauri Vansevenant,8,0,0,0,0,0,0,0,0,85,0,0,108,193
Max Walscheid,8,0,180,0,0,0,0,0,0,0,0,0,0,180
John Degenkolb,8,0,0,0,20,0,78,0,0,0,78,0,0,176
Jack Haig,8,0,0,0,0,0,0,0,0,0,0,36,140,176
Alexis Vuillermoz,8,0,0,0,0,0,0,0,0,0,0,110,60,170
Luka Mezgec,8,0,24,0,90,0,0,45,0,0,0,0,0,159
Enric Mas,8,0,0,0,0,0,0,0,0,0,0,24,130,154
Heinrich Haussler,8,0,110,30,0,0,0,0,0,0,0,0,0,140
Gianni Vermeersch,8,0,0,10,0,61,60,0,0,0,0,0,0,131
Diego Ulissi,8,42,0,0,0,0,0,0,0,0,0,10,54,106
Florian Vermeersch,8,0,0,0,60,0,0,40,0,0,0,0,0,100
Niki Terpstra,8,0,0,0,12,50,12,0,0,0,0,0,0,74
Lorenzo Rota,8,72,0,0,0,0,0,0,0,0,0,0,0,72
Wout Poels,8,0,0,0,0,0,0,0,0,0,0,66,0,66
Tosh Van Der Sande,8,0,0,60,0,0,0,0,0,0,0,0,0,60
Filippo Ganna,8,0,0,0,0,0,0,0,0,0,60,0,0,60
Edvald Boasson Hagen,8,40,0,0,12,0,0,0,0,0,0,0,0,52
Bryan Coquard,8,0,0,0,0,40,0,0,0,0,0,0,0,40
Tom Dumoulin,8,0,0,0,0,0,0,0,26,0,0,0,0,26
Ion Izagirre,8,0,0,0,0,0,0,0,0,0,0,0,24,24
Kristian Sbaragli,8,20,0,0,0,0,0,0,0,0,0,0,0,20
Patrick Konrad,8,0,0,0,0,0,0,0,0,0,0,12,0,12
Elia Viviani,8,0,0,0,0,12,0,0,0,0,0,0,0,12
Cees Bol,8,0,0,0,0,0,0,12,0,0,0,0,0,12
Franck Bonnamour,8,0,0,0,0,0,0,0,0,10,0,0,0,10
Vincenzo Nibali,8,0,0,0,0,0,0,0,0,0,0,0,6,6
Philippe Gilbert,8,0,0,0,0,0,0,0,0,0,6,0,0,6
Andrea Vendrame,8,6,0,0,0,0,0,0,0,0,0,0,0,6
Fred Wright,6,0,0,0,0,30,320,0,0,0,0,0,0,350
Quinten Hermans,6,0,0,0,0,0,0,0,0,0,0,0,350,350
Victor Campenaerts,6,0,0,0,36,252,0,0,0,36,0,0,0,324
Dan McLay,6,0,0,0,0,0,0,284,0,0,0,0,0,284
Xandro Meurisse,6,0,36,0,0,0,60,0,0,110,0,0,72,278
Michael Gogl,6,20,36,121,0,36,60,0,0,0,0,0,0,273
Nathan Van Hooydonck,6,0,0,125,24,0,0,0,80,0,40,0,0,269
Jhonatan Narvaez,6,0,0,186,0,0,40,0,0,0,0,0,0,226
Arnaud De Lie,6,0,130,0,0,0,0,85,0,0,0,0,0,215
Luca Mozzato,6,0,40,0,0,0,96,65,0,0,0,0,0,201
Daryl Impey,6,0,0,0,0,0,0,0,0,90,0,108,0,198
Simone Consonni,6,18,140,0,35,0,0,0,0,0,0,0,0,193
Olav Kooij,6,0,160,0,0,24,0,0,0,0,0,0,0,184
Baptiste Planckaert,6,0,0,0,0,0,0,36,0,0,48,0,100,184
Rasmus Tiller,6,0,0,136,41,0,0,0,0,0,0,0,0,177
Olivier Le Gac,6,0,0,52,0,65,20,0,0,0,38,0,0,175
Aaron Van Poucke,6,0,0,0,0,0,0,0,120,36,0,0,0,156
Luke Rowe,6,0,0,0,0,0,0,0,60,36,60,0,0,156
Max Kanter,6,0,90,0,0,0,60,0,0,0,0,0,0,150
Domenico Pozzovivo,6,0,0,0,0,0,0,0,0,0,0,80,70,150
Amaury Capiot,6,0,12,0,0,90,42,0,0,0,0,0,0,144
Dorian Godon,6,0,0,0,0,0,0,0,40,104,0,0,0,144
Ruben Guerreiro,6,0,0,0,0,0,0,0,0,0,0,140,0,140
Timo Roosen,6,0,0,0,24,24,0,0,20,0,40,0,20,128
Michael Morkov,6,0,95,0,0,0,0,30,0,0,0,0,0,125
Edoardo Affini,6,0,0,60,24,0,0,0,0,0,40,0,0,124
Harm Vanhoucke,6,0,0,0,0,0,0,0,0,0,0,0,120,120
Robert Stannard,6,0,0,0,0,0,0,0,0,36,0,0,84,120
Stan Dewulf,6,0,0,0,0,0,60,0,40,0,0,0,0,100
Dries De Bondt,6,0,0,60,0,36,0,0,0,0,0,0,0,96
Aime De Gendt,6,0,0,0,36,0,24,36,0,0,0,0,0,96
Marco Haller,6,0,0,70,0,0,0,24,0,0,0,0,0,94
Daniel Oss,6,40,0,36,12,0,0,0,0,0,0,0,0,88
Timothy Dupont,6,0,85,0,0,0,0,0,0,0,0,0,0,85
Jannik Steimle,6,0,0,0,0,85,0,0,0,0,0,0,0,85
Nick Schultz,6,0,0,0,0,0,0,0,0,0,0,85,0,85
Jesus Herrada,6,0,0,0,0,0,0,0,0,0,0,75,0,75
Enrico Battaglin,6,0,72,0,0,0,0,0,0,0,0,0,0,72
Jelle Wallays,6,0,0,36,36,0,0,0,0,0,0,0,0,72
Ludovic Robeet,6,0,0,0,36,0,0,0,0,36,0,0,0,72
Ide Schelling,6,0,0,0,0,0,0,0,60,0,0,12,0,72
Simon Carr,6,0,0,0,0,0,0,0,0,0,0,72,0,72
Lilian Calmejane,6,0,0,0,0,0,0,0,70,0,0,0,0,70
Kevin Geniets,6,0,0,12,36,0,20,0,0,0,0,0,0,68
Brent Van Moer,6,0,0,36,0,0,0,25,0,0,0,0,0,61
Phil Bauhaus,6,60,0,0,0,0,0,0,0,0,0,0,0,60
Krists Neilands,6,60,0,0,0,0,0,0,0,0,0,0,0,60
Sebastien Grignard,6,0,0,0,0,0,60,0,0,0,0,0,0,60
Szymon Sajnok,6,0,0,0,0,0,0,60,0,0,0,0,0,60
Louis Vervaeke,6,0,0,0,0,0,0,0,0,0,0,0,60,60
Pieter Serry,6,0,0,0,0,0,0,0,0,0,0,0,60,60
Tim Declercq,6,0,0,0,0,0,0,0,0,0,0,0,60,60
Piet Allegaert,6,0,0,0,55,0,0,0,0,0,0,0,0,55
Tobias Halland Johannessen,6,0,0,0,0,0,0,0,0,0,0,55,0,55
Ben Swift,6,0,0,0,0,12,40,0,0,0,0,0,0,52
Anders Skaarseth,6,0,0,0,10,0,18,0,0,0,24,0,0,52
Maxim Van Gils,6,0,0,0,0,0,0,0,48,0,0,0,0,48
Niccolo Bonifazio,6,40,0,0,0,0,0,0,0,0,0,0,0,40
Julien Simon,6,40,0,0,0,0,0,0,0,0,0,0,0,40
Juan Ayuso,6,0,0,0,0,0,0,0,0,40,0,0,0,40
Simone Petilli,6,0,0,0,0,0,0,0,0,0,0,0,40,40
Jan Bakelants,6,0,0,0,0,0,0,0,0,0,0,0,40,40
Jai Hindley,6,0,0,0,0,0,0,0,0,0,0,37,0,37
Jonas Rickaert,6,0,36,0,0,0,0,0,0,0,0,0,0,36
Luis Leon Sanchez,6,0,0,0,0,0,0,0,0,0,0,36,0,36
Nikias Arndt,6,0,0,0,36,0,0,0,0,0,0,0,0,36
Gino Maeder,6,0,0,0,0,0,0,0,0,0,0,36,0,36
Bert Van Lerberghe,6,0,35,0,0,0,0,0,0,0,0,0,0,35
Gorka Izagirre,6,0,0,0,0,0,0,0,0,0,0,24,0,24
Luke Durbridge,6,0,24,0,0,0,0,0,0,0,0,0,0,24
David Dekker,6,0,0,0,0,24,0,0,0,0,0,0,0,24
Martin Laas,6,0,0,0,0,0,0,24,0,0,0,0,0,24
Sam Oomen,6,0,0,0,0,0,0,0,0,0,0,0,20,20
Sepp Kuss,6,0,0,0,0,0,0,0,0,0,0,0,20,20
Arne Marit,6,0,20,0,0,0,0,0,0,0,0,0,0,20
Toms Skujins,6,0,0,0,0,0,0,0,18,0,0,0,0,18
Giovanni Aleotti,6,0,0,0,0,0,0,0,0,0,0,12,0,12
Alberto Dainese,6,0,0,0,0,0,0,12,0,0,0,0,0,12
Filippo Fiorelli,6,12,0,0,0,0,0,0,0,0,0,0,0,12
Sebastien Reichenbach,6,0,0,0,0,0,0,0,0,0,0,5,0,5
Ben Turner,4,0,0,20,51,214,100,0,60,324,200,0,0,969
Jan Tratnik,4,220,0,0,0,120,190,0,130,0,0,0,0,660
Magnus Sheffield,4,0,0,0,0,92,40,0,60,358,60,0,0,610
Tom Devriendt,4,0,0,0,0,0,0,36,0,20,380,0,0,436
Bruno Armirail,4,0,0,0,0,0,0,0,0,0,0,108,270,378
Sam Welsford,4,0,0,0,0,0,0,344,0,0,0,0,0,344
Ryan Mullen,4,0,0,36,0,0,0,278,0,0,0,0,0,314
Dries Van Gestel,4,0,0,0,272,0,0,0,0,0,42,0,0,314
Kelland O'Brien,4,0,24,0,0,284,0,0,0,0,0,0,0,308
Kenneth Vanbilsen,4,0,0,0,0,0,0,294,0,0,0,0,0,294
Quentin Pacher,4,66,0,0,0,0,0,0,78,0,0,70,66,280
Johan Jacobs,4,0,0,0,36,107,0,0,120,0,0,0,0,263
Adrien Petit,4,0,0,0,36,0,0,0,0,0,220,0,0,256
Ruediger Selig,4,0,0,0,0,0,0,244,0,0,0,0,0,244
Matis Louvel,4,0,0,0,0,60,84,0,0,0,100,0,0,244
Samuele Rivi,4,240,0,0,0,0,0,0,0,0,0,0,0,240
Alessandro Tonelli,4,240,0,0,0,0,0,0,0,0,0,0,0,240
Alexander Kamp,4,0,0,0,0,0,0,0,240,0,0,0,0,240
Laurent Pichon,4,0,0,0,0,0,0,0,0,0,240,0,0,240
Laurens De Plus,4,0,0,0,0,0,0,0,60,131,0,0,0,191
Taco Van Der Hoorn,4,0,0,0,36,0,60,0,0,0,90,0,0,186
Mathijs Paasschens,4,0,0,36,0,72,60,0,0,0,0,0,0,168
Luc Wirtgen,4,0,0,0,0,0,0,0,0,0,0,36,120,156
Valentin Ferron,4,0,0,0,0,0,0,0,0,0,0,144,0,144
Vincenzo Albanese,4,140,0,0,0,0,0,0,0,0,0,0,0,140
Sylvain Moniquet,4,0,0,0,0,0,0,0,0,0,0,15,120,135
Julien Vermote,4,0,36,0,0,36,60,0,0,0,0,0,0,132
Diego Pablo Sevilla,4,120,0,0,0,0,0,0,0,0,0,0,0,120
Filippo Conca,4,120,0,0,0,0,0,0,0,0,0,0,0,120
Yevgeniy Gidich,4,120,0,0,0,0,0,0,0,0,0,0,0,120
Filippo Tagliani,4,120,0,0,0,0,0,0,0,0,0,0,0,120
Artyom Zakharov,4,120,0,0,0,0,0,0,0,0,0,0,0,120
Ricardo Alejandro Zurita,4,120,0,0,0,0,0,0,0,0,0,0,0,120
Owain Doull,4,0,0,0,0,0,0,0,120,0,0,0,0,120
Paul Ourselin,4,0,0,0,0,0,0,0,0,0,0,0,120,120
Fabien Doubey,4,0,0,0,0,0,0,0,0,0,0,0,120,120
Emils Liepins,4,0,0,0,0,0,0,55,60,0,0,0,0,115
Jens Reynders,4,0,72,0,0,0,0,0,0,0,0,36,0,108
Simon Guglielmi,4,0,0,0,0,0,0,0,0,0,0,108,0,108
Jimmy Janssens,4,0,0,0,0,0,0,0,0,0,0,108,0,108
Arjen Livyns,4,0,0,0,101,0,0,0,0,0,0,0,0,101
Stanislaw Aniolkowski,4,0,100,0,0,0,0,0,0,0,0,0,0,100
Lindsay De Vylder,4,0,0,0,36,0,60,0,0,0,0,0,0,96
Soren Waerenskjold,4,0,60,0,0,0,0,36,0,0,0,0,0,96
Cameron Wurf,4,0,0,0,0,0,0,0,0,36,60,0,0,96
Jasha Suetterlin,4,60,0,0,0,0,30,0,0,0,0,0,0,90
Lluis Mas,4,0,65,0,0,0,0,0,0,0,0,24,0,89
Lorrenzo Manzin,4,0,80,0,0,0,0,0,0,0,0,0,0,80
Robbe Ghys,4,0,0,0,80,0,0,0,0,0,0,0,0,80
Silvan Dillier,4,20,0,0,0,0,60,0,0,0,0,0,0,80
Rick Zabel,4,0,75,0,0,0,0,0,0,0,0,0,0,75
Laurenz Rex,4,0,0,0,75,0,0,0,0,0,0,0,0,75
Hugo Houle,4,0,0,0,0,0,0,0,0,75,0,0,0,75
Dimitri Peyskens,4,0,72,0,0,0,0,0,0,0,0,0,0,72
Aaron Verwilst,4,0,0,0,0,72,0,0,0,0,0,0,0,72
Jenno Berckmoes,4,0,0,0,0,0,0,0,0,70,0,0,0,70
Pascal Eenkhoorn,4,0,0,0,0,69,0,0,0,0,0,0,0,69
Mattias Skjelmose Jensen,4,0,0,0,0,0,0,0,0,0,0,65,0,65
Larry Warbasse,4,0,0,0,0,0,0,0,40,24,0,0,0,64
Mikael Cherel,4,0,0,0,0,0,0,0,40,24,0,0,0,64
Mick Van Dijke,4,0,0,0,0,24,0,0,0,0,40,0,0,64
Yukiya Arashiro,4,60,0,0,0,0,0,0,0,0,0,0,0,60
Jonathan Milan,4,60,0,0,0,0,0,0,0,0,0,0,0,60
Alexander Konychev,4,0,24,0,36,0,0,0,0,0,0,0,0,60
Tom Bohli,4,0,0,0,0,0,60,0,0,0,0,0,0,60
Manuele Boaro,4,0,0,0,0,0,60,0,0,0,0,0,0,60
Luca Rastelli,4,0,0,0,0,0,0,0,60,0,0,0,0,60
Stefan Bissegger,4,0,0,0,0,0,0,0,0,0,60,0,0,60
Jacob Hindsgaul Madsen,4,0,0,0,0,0,0,0,0,0,0,0,60,60
Marco Tizza,4,0,0,0,0,0,0,0,0,0,0,0,60,60
Kenny Molly,4,0,0,0,0,0,0,0,0,0,0,0,60,60
Pau Miquel,4,0,0,0,0,0,0,0,0,0,0,0,60,60
Ilan Van Wilder,4,0,0,0,0,0,0,0,0,0,0,0,60,60
Itamar Einhorn,4,0,55,0,0,0,0,0,0,0,0,0,0,55
Alexis Gougeard,4,0,0,0,0,55,0,0,0,0,0,0,0,55
Vito Braet,4,0,0,0,0,0,0,0,0,55,0,0,0,55
Maciej Bodnar,4,40,0,0,12,0,0,0,0,0,0,0,0,52
Kim Heiduk,4,0,0,0,0,12,40,0,0,0,0,0,0,52
Lewis Askey,4,0,0,12,0,0,20,0,0,0,20,0,0,52
Fabian Lienhard,4,0,0,12,0,0,20,0,0,0,20,0,0,52
Kenneth Van Rooy,4,0,0,0,0,0,0,50,0,0,0,0,0,50
Tony Gallopin,4,0,0,0,0,0,0,0,0,50,0,0,0,50
Guillaume Van Keirsbulck,4,0,0,0,0,0,0,20,0,0,30,0,0,50
Alex Edmonson,4,0,24,25,0,0,0,0,0,0,0,0,0,49
Gerben Thijssen,4,0,10,0,0,0,0,36,0,0,0,0,0,46
Joris Nieuwenhuis,4,0,0,45,0,0,0,0,0,0,0,0,0,45
Jonas Koch,4,0,0,0,45,0,0,0,0,0,0,0,0,45
Cedric Beullens,4,0,0,15,0,0,0,0,0,30,0,0,0,45
Victor Lafay,4,0,0,0,0,0,0,0,0,0,0,45,0,45
Marijn Van Den Berg,4,0,0,0,40,0,0,0,0,0,0,0,0,40
Jos Van Emden,4,0,0,0,0,0,0,0,20,0,0,0,20,40
Georg Zimmermann,4,0,0,0,0,0,0,0,0,0,0,0,40,40
Corne Van Kessel,4,0,0,0,0,0,0,0,0,0,0,0,40,40
Maurice Ballerstedt,4,0,36,0,0,0,0,0,0,0,0,0,0,36
Scott Thwaites,4,0,36,0,0,0,0,0,0,0,0,0,0,36
Lukas Poestelberger,4,0,0,36,0,0,0,0,0,0,0,0,0,36
Lasse Norman Hansen,4,0,0,36,0,0,0,0,0,0,0,0,0,36
Alex Kirsch,4,0,0,0,36,0,0,0,0,0,0,0,0,36
Lars Saugstad,4,0,0,0,36,0,0,0,0,0,0,0,0,36
Kevin Van Melsen,4,0,0,0,36,0,0,0,0,0,0,0,0,36
Tobias Bayer,4,0,0,0,0,36,0,0,0,0,0,0,0,36
Barnabas Peak,4,0,0,0,0,0,0,36,0,0,0,0,0,36
Boy Van Poppel,4,0,0,0,0,0,0,36,0,0,0,0,0,36
Ander Okamika,4,0,0,0,0,0,0,0,0,36,0,0,0,36
Morten Hulgaard,4,0,0,0,0,0,0,0,0,0,0,36,0,36
Chris Juul-Jensen,4,0,0,0,0,0,0,0,0,0,0,36,0,36
Pierre Rolland,4,0,0,0,0,0,0,0,0,0,0,36,0,36
Stephen Williams,4,0,0,0,0,0,0,0,0,0,0,36,0,36
Stijn Steels,4,0,0,0,0,0,0,35,0,0,0,0,0,35
Alexis Renard,4,0,0,0,0,0,0,0,0,35,0,0,0,35
Odd Christian Eiking,4,0,0,0,0,0,0,0,0,0,0,35,0,35
Tobias Ludwigsson,4,0,0,12,0,0,20,0,0,0,0,0,0,32
Rudy Barbier,4,0,30,0,0,0,0,0,0,0,0,0,0,30
Campbell Stewart,4,0,24,0,0,0,0,0,0,0,0,0,0,24
Michael Schaer,4,0,0,0,0,0,0,0,0,24,0,0,0,24
Lawrence Naesen,4,0,0,0,0,0,0,0,0,24,0,0,0,24
Benjamin Declercq,4,0,12,0,0,0,0,0,0,12,0,0,0,24
Christophe Noppe,4,0,12,0,0,0,0,0,0,12,0,0,0,24
Markus Pajur,4,0,12,0,0,0,0,0,0,12,0,0,0,24
Carlos Verona,4,0,0,0,0,0,0,0,0,0,0,24,0,24
Gregor Muehlberger,4,0,0,0,0,0,0,0,0,0,0,24,0,24
Oier Lazkano,4,0,0,0,0,0,0,0,0,0,0,24,0,24
Jonas Gregaard,4,0,0,0,0,0,0,0,0,5,0,0,18,23
Stefano Oldani,4,20,0,0,0,0,0,0,0,0,0,0,0,20
Kamiel Bonneu,4,0,0,0,0,0,0,0,0,0,0,20,0,20
Bram Welten,4,0,0,0,0,0,0,0,0,0,20,0,0,20
Clement Davy,4,0,0,0,0,0,0,0,0,0,20,0,0,20
Alexandre Delettre,4,0,0,0,0,0,0,0,0,15,0,0,0,15
Julien Morice,4,0,0,0,0,0,0,15,0,0,0,0,0,15
Mikkel Bjerg,4,0,15,0,0,0,0,0,0,0,0,0,0,15
Frederik Wandahl,4,0,0,0,0,0,0,0,0,0,0,12,0,12
Cesare Benedetti,4,0,0,0,0,0,0,0,0,0,0,12,0,12
Kevin Vauquelin,4,0,0,0,0,0,0,0,0,12,0,0,0,12
Lukasz Owsian,4,0,0,0,0,0,0,0,0,12,0,0,0,12
Winner Anacona,4,0,0,0,0,0,0,0,0,12,0,0,0,12
Niklas Maerkl,4,0,0,0,0,0,0,12,0,0,0,0,0,12
Mathias Norsgaard,4,0,0,0,0,0,0,0,0,0,12,0,0,12
Nico Denz,4,0,0,0,0,0,0,12,0,0,0,0,0,12
Kevin Ledanois,4,0,12,0,0,0,0,0,0,0,0,0,0,12
Daan Hoole,4,0,0,0,0,0,0,5,0,0,0,0,0,5
Milan Fretin,4,0,5,0,0,0,0,0,0,0,0,0,0,5
