Names,Cost,MSR,BDP,E3,GW,DDV,RVV,SP,AGR,BP,PR,FW,LBL,Total
Ivan Garcia Cortina,8,48,0,75,166,0,114,0,0,0,36,0,0,439
Dani Martinez,8,0,0,0,0,0,0,0,0,0,0,160,260,420
Jordi Meeus,8,0,0,0,0,0,0,263,0,0,110,0,0,373
Andrea Pasqualon,8,0,0,0,121,95,0,0,24,0,72,0,0,312
Aleksandr Vlasov,8,0,0,0,0,0,0,0,0,0,0,200,110,310
Edward Theuns,8,0,0,0,0,0,0,304,0,0,0,0,0,304
Michael Valgren,8,36,0,55,0,0,0,0,100,100,0,0,0,291
Neilson Powless,8,0,0,0,0,0,0,0,0,0,0,60,180,240
Sergio Higuita,8,0,0,0,0,0,0,0,0,0,0,0,240,240
Nacer Bouhanni,8,24,200,0,0,0,0,0,0,0,0,0,0,224
Rudy Molard,8,0,0,0,0,0,0,0,0,0,0,130,78,208
Damiano Caruso,8,160,0,0,0,0,0,0,0,0,0,36,0,196
Max Walscheid,8,0,180,0,0,0,0,0,0,0,0,0,0,180
Jack Haig,8,0,0,0,0,0,0,0,0,0,0,36,140,176
Alexis Vuillermoz,8,0,0,0,0,0,0,0,0,0,0,110,60,170
Enric Mas,8,0,0,0,0,0,0,0,0,0,0,24,130,154
Heinrich Haussler,8,0,110,30,0,0,0,0,0,0,0,0,0,140
Fred Wright,6,0,0,0,0,30,320,0,0,0,0,0,0,350
Quinten Hermans,6,0,0,0,0,0,0,0,0,0,0,0,350,350
Victor Campenaerts,6,0,0,0,36,252,0,0,0,36,0,0,0,324
Dan McLay,6,0,0,0,0,0,0,284,0,0,0,0,0,284
Xandro Meurisse,6,0,36,0,0,0,60,0,0,110,0,0,72,278
Jhonatan Narvaez,6,0,0,186,0,0,40,0,0,0,0,0,0,226
Arnaud De Lie,6,0,130,0,0,0,0,85,0,0,0,0,0,215
Daryl Impey,6,0,0,0,0,0,0,0,0,90,0,108,0,198
Simone Consonni,6,18,140,0,35,0,0,0,0,0,0,0,0,193
Olav Kooij,6,0,160,0,0,24,0,0,0,0,0,0,0,184
Rasmus Tiller,6,0,0,136,41,0,0,0,0,0,0,0,0,177
Aaron Van Poucke,6,0,0,0,0,0,0,0,120,36,0,0,0,156
Max Kanter,6,0,90,0,0,0,60,0,0,0,0,0,0,150
Dorian Godon,6,0,0,0,0,0,0,0,40,104,0,0,0,144
Ruben Guerreiro,6,0,0,0,0,0,0,0,0,0,0,140,0,140
Michael Morkov,6,0,95,0,0,0,0,30,0,0,0,0,0,125
Ben Turner,4,0,0,20,51,214,100,0,60,324,200,0,0,969
Jan Tratnik,4,220,0,0,0,120,190,0,130,0,0,0,0,660
Magnus Sheffield,4,0,0,0,0,92,40,0,60,358,60,0,0,610
Tom Devriendt,4,0,0,0,0,0,0,36,0,20,380,0,0,436
Bruno Armirail,4,0,0,0,0,0,0,0,0,0,0,108,270,378
Sam Welsford,4,0,0,0,0,0,0,344,0,0,0,0,0,344
Ryan Mullen,4,0,0,36,0,0,0,278,0,0,0,0,0,314
Dries Van Gestel,4,0,0,0,272,0,0,0,0,0,42,0,0,314
Kelland O'Brien,4,0,24,0,0,284,0,0,0,0,0,0,0,308
Kenneth Vanbilsen,4,0,0,0,0,0,0,294,0,0,0,0,0,294
Johan Jacobs,4,0,0,0,36,107,0,0,120,0,0,0,0,263
Adrien Petit,4,0,0,0,36,0,0,0,0,0,220,0,0,256
Ruediger Selig,4,0,0,0,0,0,0,244,0,0,0,0,0,244
Samuele Rivi,4,240,0,0,0,0,0,0,0,0,0,0,0,240
Alessandro Tonelli,4,240,0,0,0,0,0,0,0,0,0,0,0,240
Alexander Kamp,4,0,0,0,0,0,0,0,240,0,0,0,0,240
Laurent Pichon,4,0,0,0,0,0,0,0,0,0,240,0,0,240
Laurens De Plus,4,0,0,0,0,0,0,0,60,131,0,0,0,191
Valentin Ferron,4,0,0,0,0,0,0,0,0,0,0,144,0,144
Owain Doull,4,0,0,0,0,0,0,0,120,0,0,0,0,120
Simon Guglielmi,4,0,0,0,0,0,0,0,0,0,0,108,0,108
Jimmy Janssens,4,0,0,0,0,0,0,0,0,0,0,108,0,108
Stanislaw Aniolkowski,4,0,100,0,0,0,0,0,0,0,0,0,0,100
