Names,Cost,MSR,BDP,E3,GW,DDV,RVV,SP,DBP,AGR,FW,LBL,Total
Lorenzo Rota,6,0,0,0,0,0,0,0,5,0,0,120,125
Marc Sarreau,6,0,0,0,0,0,0,120,0,0,0,0,120
Chad Haga,6,0,0,0,0,0,0,0,0,120,0,0,120
Stefan Bissegger,6,0,0,0,0,0,120,0,0,0,0,0,120
Sven Erik Bystrom,6,0,0,0,102,0,0,0,12,0,0,0,114
Stanislaw Aniolkowski,6,0,110,0,0,0,0,0,0,0,0,0,110
Louis Vervaeke,6,0,0,0,0,0,0,0,0,0,108,0,108
Remi Cavagna,6,0,0,0,0,0,0,0,100,0,0,0,100
Luke Durbridge,6,0,0,0,0,90,0,0,0,0,0,0,90
Jack Bauer,6,0,0,0,80,0,0,0,0,0,0,0,80
Jan-Willem van Schip,6,0,0,0,0,0,0,80,0,0,0,0,80
Ludovic Robeet,6,0,0,0,0,0,0,0,72,0,0,0,72
Jordi Meeus,6,0,0,0,0,0,0,0,72,0,0,0,72
Arjen Livyns,6,0,0,0,0,70,0,0,0,0,0,0,70
Dan McLay,6,0,70,0,0,0,0,0,0,0,0,0,70
Matteo Moschetti,6,0,60,0,0,0,0,0,0,0,0,0,60
Clement Russo,4,0,100,0,0,0,12,196,0,0,0,0,308
Nathan Van Hooydonck,4,0,0,0,284,0,0,0,24,0,0,0,308
Maurits Lammertink,4,0,0,0,0,0,0,0,10,120,144,0,274
Jelle Wallays,4,0,0,86,0,60,60,0,0,0,0,0,206
Brent Van Moer,4,0,36,0,0,0,0,96,72,0,0,0,204
Anders Skaarseth,4,0,0,0,0,0,0,0,72,120,0,0,192
Taco Van Der Hoorn,4,120,0,71,0,0,0,0,0,0,0,0,191
Jeremy Lecroq,4,0,90,0,100,0,0,0,0,0,0,0,190
Sylvain Moniquet,4,0,0,0,0,0,0,0,75,0,108,0,183
Mathijs Paasschens,4,0,0,0,0,0,60,0,0,0,0,120,180
Mathias Norsgaard,4,120,0,0,0,0,60,0,0,0,0,0,180
Ben Tulett,4,0,0,0,0,0,0,0,0,84,95,0,179
Dries Van Gestel,4,0,0,0,60,0,0,110,0,0,0,0,170
Quinten Hermans,4,0,0,0,0,0,0,0,0,66,85,0,151
Julian Mertens,4,0,0,0,0,0,0,0,72,0,72,0,144
Alessandro Tonelli,4,120,0,0,0,0,0,0,0,0,0,0,120
Aaron Van Poucke,4,0,0,0,0,0,0,0,0,0,0,120,120
Laurens Huys,4,0,0,0,0,0,0,0,0,0,0,120,120
Kenny Molly,4,0,0,0,0,0,0,0,0,120,0,0,120
Sergei Chernetskii,4,0,0,0,0,0,0,0,0,0,0,120,120
Filippo Tagliani,4,120,0,0,0,0,0,0,0,0,0,0,120
Charles Planet,4,120,0,0,0,0,0,0,0,0,0,0,120
Sebastien Grignard,4,0,0,0,0,0,0,0,0,120,0,0,120
Tomasz Marczynski,4,0,0,0,0,0,0,0,0,0,0,120,120
Julien Bernard,4,0,0,0,0,0,0,0,0,120,0,0,120
Norman Vahtra,4,0,0,0,0,0,0,111,0,0,0,0,111
Alex Howes,4,0,0,0,0,0,0,0,0,0,108,0,108
Evaldas Siskevicius,4,0,0,0,0,0,0,100,0,0,0,0,100
Boy Van Poppel,4,0,0,0,0,95,0,0,0,0,0,0,95
Lorrenzo Manzin,4,0,95,0,0,0,0,0,0,0,0,0,95
Milan Menten,4,0,0,0,0,0,0,0,80,0,0,0,80
Johan Jacobs,4,0,0,76,0,0,0,0,0,0,0,0,76
Jordi Warlop,4,0,0,0,0,75,0,0,0,0,0,0,75
