Names,Cost,MSR,BDP,E3,GW,DDV,RVV,SP,DBP,AGR,FW,LBL,Total
Ide Schelling,6,0,0,0,0,0,0,0,180,80,0,0,260
Loic Vliegen,6,0,0,0,0,0,0,0,0,120,0,120,240
Jonas Rickaert,6,0,24,0,0,12,40,162,0,0,0,0,238
Max Walscheid,6,0,25,0,49,0,24,131,0,0,0,0,229
Dries De Bondt,6,0,0,12,0,12,40,71,90,0,0,0,225
Mark Cavendish,6,0,0,0,0,0,0,224,0,0,0,0,224
Markus Hoelgaard,6,0,0,130,0,0,0,0,15,72,0,0,217
Dimitri Claeys,6,0,0,60,24,0,120,0,0,0,0,0,204
Hugo Hofstetter,6,0,150,0,0,0,42,0,0,0,0,0,192
Florian Vermeersch,6,0,80,75,0,36,0,0,0,0,0,0,191
Nicola Conci,6,180,0,0,0,0,0,0,0,0,5,0,185
Oscar Riesebeek,6,0,24,0,0,0,40,0,120,0,0,0,184
Andreas Leknessund,6,0,0,0,0,0,0,0,182,0,0,0,182
Ryan Gibbons,6,0,0,0,12,35,0,0,12,120,0,0,179
Aurelien Paret-Peintre,6,0,0,0,0,0,0,0,50,78,0,48,176
Ethan Hayter,6,0,0,0,0,172,0,0,0,0,0,0,172
Robert Stannard,6,18,0,0,0,0,0,0,150,0,0,0,168
Stan Dewulf,6,0,0,0,0,0,20,25,0,120,0,0,165
Timothy Dupont,6,0,160,0,0,0,0,0,0,0,0,0,160
Tim Declercq,6,0,36,60,0,0,60,0,0,0,0,0,156
Marco Haller,6,0,0,146,0,0,0,0,0,0,0,0,146
Jack Haig,6,0,0,0,0,0,0,0,0,0,60,84,144
Heinrich Haussler,6,0,0,0,10,65,66,0,0,0,0,0,141
Luca Mozzato,6,0,0,0,0,0,0,140,0,0,0,0,140
Owain Doull,6,0,0,0,70,66,0,0,0,0,0,0,136
Paul Martens,6,20,0,0,0,0,0,0,24,60,24,0,128
Sander Armee,6,0,0,0,0,0,0,0,20,0,108,0,128
Lorenzo Rota,6,0,0,0,0,0,0,0,5,0,0,120,125
Marc Sarreau,6,0,0,0,0,0,0,120,0,0,0,0,120
Chad Haga,6,0,0,0,0,0,0,0,0,120,0,0,120
Stefan Bissegger,6,0,0,0,0,0,120,0,0,0,0,0,120
Sven Erik Bystrom,6,0,0,0,102,0,0,0,12,0,0,0,114
Stanislaw Aniolkowski,6,0,110,0,0,0,0,0,0,0,0,0,110
Jasper De Buyst,6,40,0,70,0,0,0,0,0,0,0,0,110
Louis Vervaeke,6,0,0,0,0,0,0,0,0,0,108,0,108
Sam Oomen,6,20,0,0,0,0,0,0,0,60,24,0,104
Jonas Vingegaard,6,0,0,0,0,0,0,0,0,60,24,18,102
Remi Cavagna,6,0,0,0,0,0,0,0,100,0,0,0,100
Luke Durbridge,6,0,0,0,0,90,0,0,0,0,0,0,90
Robert Gesink,6,0,0,0,0,0,0,0,0,60,24,0,84
Jack Bauer,6,0,0,0,80,0,0,0,0,0,0,0,80
Jan-Willem van Schip,6,0,0,0,0,0,0,80,0,0,0,0,80
Timo Roosen,6,20,0,0,36,0,0,0,24,0,0,0,80
Pieter Serry,6,0,0,0,0,0,0,0,40,0,0,40,80
Victor Campenaerts,6,0,0,0,0,10,0,0,70,0,0,0,80
Eddie Dunbar,6,0,0,0,0,0,0,0,36,40,0,0,76
Luke Rowe,6,0,0,0,0,0,0,0,36,40,0,0,76
Dries Devenyns,6,0,0,0,0,0,0,0,0,0,36,40,76
Mikkel Honore,6,0,0,0,0,0,0,0,0,0,36,40,76
James Knox,6,0,0,0,0,0,0,0,0,0,36,40,76
Gijs Van Hoecke,6,0,55,0,0,0,20,0,0,0,0,0,75
Pascal Eenkhoorn,6,0,0,0,36,15,0,0,24,0,0,0,75
Nacer Bouhanni,6,72,0,0,0,0,0,0,0,0,0,0,72
Ludovic Robeet,6,0,0,0,0,0,0,0,72,0,0,0,72
Simone Velasco,6,0,0,0,0,0,0,0,0,0,72,0,72
Diego Rosa,6,0,0,0,0,0,0,0,0,0,72,0,72
Jordi Meeus,6,0,0,0,0,0,0,0,72,0,0,0,72
Tom Van Asbroeck,6,0,0,0,0,0,72,0,0,0,0,0,72
Arjen Livyns,6,0,0,0,0,70,0,0,0,0,0,0,70
Dan McLay,6,0,70,0,0,0,0,0,0,0,0,0,70
David De La Cruz,6,0,0,0,0,0,0,0,0,0,0,60,60
Brandon McNulty,6,0,0,0,0,0,0,0,0,0,0,60,60
Lionel Taminiaux,6,0,24,0,0,0,0,36,0,0,0,0,60
Daryl Impey,6,0,0,0,0,0,0,0,0,60,0,0,60
Hugo Houle,6,0,0,0,0,0,60,0,0,0,0,0,60
Jacopo Mosca,6,60,0,0,0,0,0,0,0,0,0,0,60
Matteo Moschetti,6,0,60,0,0,0,0,0,0,0,0,0,60
Edoardo Affini,6,20,0,0,36,0,0,0,0,0,0,0,56
Clement Venturini,6,0,0,0,0,0,0,0,0,54,0,0,54
Silvan Dillier,6,0,0,0,0,12,40,0,0,0,0,0,52
Gonzalo Serrano,6,36,0,0,0,0,0,0,0,0,12,0,48
Joris Nieuwenhuis,6,0,0,45,0,0,0,0,0,0,0,0,45
Rick Zabel,6,0,40,0,0,0,0,0,0,0,0,0,40
Emmanuel Morin,6,0,0,0,0,0,0,0,36,0,0,0,36
Shane Archbold,6,0,0,0,0,0,0,36,0,0,0,0,36
Mattia Cattaneo,6,0,0,0,0,0,0,0,0,0,36,0,36
Josef Cerny,6,0,0,0,0,0,0,0,0,0,36,0,36
Andre Greipel,6,0,0,36,0,0,0,0,0,0,0,0,36
Alvaro Hodeg,6,0,36,0,0,0,0,0,0,0,0,0,36
Krists Neilands,6,0,0,0,0,0,0,0,0,0,0,36,36
Gerben Thijssen,6,0,36,0,0,0,0,0,0,0,0,0,36
Alexander Konychev,6,0,35,0,0,0,0,0,0,0,0,0,35
Imanol Erviti,6,0,0,0,35,0,0,0,0,0,0,0,35
Rui Oliveira,6,0,0,0,0,25,0,0,0,0,0,0,25
Mauro Finetto,6,0,0,0,0,0,0,0,0,0,25,0,25
Simon Carr,6,0,0,0,0,0,0,0,25,0,0,0,25
Jempy Drucker,6,0,0,0,0,24,0,0,0,0,0,0,24
Sergio Henao,6,0,0,0,0,0,0,0,0,6,15,0,21
Bruno Armirail,6,0,0,0,0,0,0,0,0,0,0,20,20
Romain Seigle,6,0,0,0,0,0,0,0,0,0,0,20,20
Michael Schaer,6,0,0,0,0,0,20,0,0,0,0,0,20
Damien Touze,6,0,0,0,0,0,20,0,0,0,0,0,20
Martin Laas,6,0,17,0,0,0,0,0,0,0,0,0,17
Alexandr Riabushenko,6,0,0,0,0,0,0,0,12,0,0,0,12
Max Richeze,6,0,0,0,12,0,0,0,0,0,0,0,12
Xandro Meurisse,6,0,0,12,0,0,0,0,0,0,0,0,12
Petr Vakoc,6,0,0,12,0,0,0,0,0,0,0,0,12
Matteo Jorgenson,6,0,0,0,0,0,0,0,0,0,12,0,12
Enric Mas,6,0,0,0,0,0,0,0,0,0,12,0,12
Julien Simon,6,12,0,0,0,0,0,0,0,0,0,0,12
Carlos Verona,6,0,0,0,0,0,0,0,0,0,12,0,12
Jesus Herrada,6,0,0,0,0,0,0,0,0,0,10,0,10
Omar Fraile,6,0,0,0,0,0,0,0,0,0,0,6,6
Aime De Gendt,6,0,0,0,5,0,0,0,0,0,0,0,5
Clement Russo,4,0,100,0,0,0,12,196,0,0,0,0,308
Nathan Van Hooydonck,4,0,0,0,284,0,0,0,24,0,0,0,308
Maurits Lammertink,4,0,0,0,0,0,0,0,10,120,144,0,274
Jelle Wallays,4,0,0,86,0,60,60,0,0,0,0,0,206
Brent Van Moer,4,0,36,0,0,0,0,96,72,0,0,0,204
Anders Skaarseth,4,0,0,0,0,0,0,0,72,120,0,0,192
Taco Van Der Hoorn,4,120,0,71,0,0,0,0,0,0,0,0,191
Jeremy Lecroq,4,0,90,0,100,0,0,0,0,0,0,0,190
Sylvain Moniquet,4,0,0,0,0,0,0,0,75,0,108,0,183
Mathijs Paasschens,4,0,0,0,0,0,60,0,0,0,0,120,180
Mathias Norsgaard,4,120,0,0,0,0,60,0,0,0,0,0,180
Ben Tulett,4,0,0,0,0,0,0,0,0,84,95,0,179
Dries Van Gestel,4,0,0,0,60,0,0,110,0,0,0,0,170
Michal Golas,4,0,0,0,50,36,0,0,36,40,0,0,162
Quinten Hermans,4,0,0,0,0,0,0,0,0,66,85,0,151
Julian Mertens,4,0,0,0,0,0,0,0,72,0,72,0,144
Alessandro Tonelli,4,120,0,0,0,0,0,0,0,0,0,0,120
Aaron Van Poucke,4,0,0,0,0,0,0,0,0,0,0,120,120
Laurens Huys,4,0,0,0,0,0,0,0,0,0,0,120,120
Kenny Molly,4,0,0,0,0,0,0,0,0,120,0,0,120
Sergei Chernetskii,4,0,0,0,0,0,0,0,0,0,0,120,120
Filippo Tagliani,4,120,0,0,0,0,0,0,0,0,0,0,120
Charles Planet,4,120,0,0,0,0,0,0,0,0,0,0,120
Sebastien Grignard,4,0,0,0,0,0,0,0,0,120,0,0,120
Tomasz Marczynski,4,0,0,0,0,0,0,0,0,0,0,120,120
Julien Bernard,4,0,0,0,0,0,0,0,0,120,0,0,120
Norman Vahtra,4,0,0,0,0,0,0,111,0,0,0,0,111
Alex Howes,4,0,0,0,0,0,0,0,0,0,108,0,108
Evaldas Siskevicius,4,0,0,0,0,0,0,100,0,0,0,0,100
Boy Van Poppel,4,0,0,0,0,95,0,0,0,0,0,0,95
Lorrenzo Manzin,4,0,95,0,0,0,0,0,0,0,0,0,95
Lennard Hofstede,4,0,0,0,0,0,0,0,0,60,24,0,84
Milan Menten,4,0,0,0,0,0,0,0,80,0,0,0,80
Johan Jacobs,4,0,0,76,0,0,0,0,0,0,0,0,76
Jordi Warlop,4,0,0,0,0,75,0,0,0,0,0,0,75
Vegard Stake Laengen,4,0,0,0,0,0,0,0,12,0,0,60,72
Leonardo Basso,4,0,0,0,0,36,0,0,36,0,0,0,72
Cameron Wurf,4,0,0,0,0,36,0,0,36,0,0,0,72
Luuc Bugter,4,0,0,0,0,0,0,70,0,0,0,0,70
Piotr Havik,4,0,0,0,0,0,0,65,0,0,0,0,65
Otto Vergaerde,4,0,0,12,0,12,40,0,0,0,0,0,64
Michael Schwarzmann,4,0,12,0,0,0,0,51,0,0,0,0,63
Fabio Van Den Bossche,4,0,0,0,0,0,60,0,0,0,0,0,60
Nico Denz,4,0,0,0,0,0,60,0,0,0,0,0,60
Senne Leysen,4,0,24,0,0,0,0,36,0,0,0,0,60
Mattia Viel,4,60,0,0,0,0,0,0,0,0,0,0,60
Andrea Peron,4,60,0,0,0,0,0,0,0,0,0,0,60
Ryan Mullen,4,60,0,0,0,0,0,0,0,0,0,0,60
Jos Van Emden,4,20,0,0,36,0,0,0,0,0,0,0,56
Arne Marit,4,0,50,0,0,0,0,0,0,0,0,0,50
Soren Waerenskjold,4,0,0,0,0,0,0,50,0,0,0,0,50
Lawrence Naesen,4,0,30,0,0,0,20,0,0,0,0,0,50
Yevgeniy Gidich,4,0,45,0,0,0,0,0,0,0,0,0,45
Cyril Lemoine,4,0,0,0,45,0,0,0,0,0,0,0,45
Christoph Pfingsten,4,20,0,0,0,0,0,0,0,0,24,0,44
Frederik Frison,4,40,0,0,0,0,0,0,0,0,0,0,40
Roger Kluge,4,40,0,0,0,0,0,0,0,0,0,0,40
Erik Nordsaeter,4,0,36,0,0,0,0,0,0,0,0,0,36
Rasmus Tiller,4,0,0,36,0,0,0,0,0,0,0,0,36
Alexys Brunel,4,0,0,36,0,0,0,0,0,0,0,0,36
Barnabas Peak,4,0,36,0,0,0,0,0,0,0,0,0,36
Wout Van Elzakker,4,0,36,0,0,0,0,0,0,0,0,0,36
Alexis Gougeard,4,0,36,0,0,0,0,0,0,0,0,0,36
Alexander Richardson,4,0,0,0,0,0,0,36,0,0,0,0,36
Kevin Van Melsen,4,0,0,0,0,0,0,0,36,0,0,0,36
Maarten Wynants,4,0,0,0,36,0,0,0,0,0,0,0,36
Iljo Keisse,4,0,0,0,0,0,0,36,0,0,0,0,36
Stijn Steels,4,0,36,0,0,0,0,0,0,0,0,0,36
Lluis Mas,4,0,0,36,0,0,0,0,0,0,0,0,36
Sebastian Mora,4,0,36,0,0,0,0,0,0,0,0,0,36
Julius Van Der Berg,4,0,0,36,0,0,0,0,0,0,0,0,36
Jonathan Milan,4,0,0,36,0,0,0,0,0,0,0,0,36
Ruben Apers,4,0,36,0,0,0,0,0,0,0,0,0,36
Lindsay De Vylder,4,0,0,36,0,0,0,0,0,0,0,0,36
Marco Brenner,4,0,0,0,0,0,0,0,0,0,35,0,35
Patrick Gamper,4,0,12,0,0,0,0,0,0,20,0,0,32
Ruediger Selig,4,0,12,0,0,0,0,20,0,0,0,0,32
Jenthe Biermans,4,0,0,0,0,0,30,0,0,0,0,0,30
Stefano Oldani,4,0,0,0,0,0,0,0,30,0,0,0,30
Jonas Koch,4,0,0,15,0,0,0,10,0,0,0,0,25
Jimmy Janssens,4,0,24,0,0,0,0,0,0,0,0,0,24
Tom Bohli,4,0,0,0,0,24,0,0,0,0,0,0,24
Andre Carvalho,4,0,0,0,0,24,0,0,0,0,0,0,24
Finn Fisher-Black,4,0,0,0,0,0,0,0,24,0,0,0,24
Scott Thwaites,4,0,24,0,0,0,0,0,0,0,0,0,24
Kenneth Vanbilsen,4,0,0,0,0,24,0,0,0,0,0,0,24
Gijs Leemreize,4,0,0,0,0,0,0,0,24,0,0,0,24
Andreas Stokbro,4,0,0,0,24,0,0,0,0,0,0,0,24
Emil Vinjebo,4,0,0,0,24,0,0,0,0,0,0,0,24
Lukasz Wisniowski,4,0,0,0,24,0,0,0,0,0,0,0,24
Cesare Benedetti,4,0,0,0,0,0,0,0,0,20,0,0,20
William Bonnet,4,0,0,0,0,0,0,0,0,0,0,20,20
Matthieu Ladagnous,4,0,0,0,0,0,0,0,0,0,0,20,20
Marco Marcato,4,0,0,0,0,0,0,0,12,0,0,0,12
Ivo Oliveira,4,0,0,0,12,0,0,0,0,0,0,0,12
Oliveiro Troia,4,0,0,0,0,0,0,0,12,0,0,0,12
Lukas Poestelberger,4,0,12,0,0,0,0,0,0,0,0,0,12
Juraj Sagan,4,0,12,0,0,0,0,0,0,0,0,0,12
Floris De Tier,4,0,0,12,0,0,0,0,0,0,0,0,12
Jorge Arcas,4,0,0,0,0,0,0,0,0,0,12,0,12
Dusan Rajovic,4,0,0,0,0,0,0,5,0,0,0,0,5
